# iter,cost,accuracy_train,auc_train,accuracy_val,auc_val,f1_train,f1_val,auc_pr_train,auc_pr_val
0,0.73137020421,0.38666666667,0.12607142857,0.52000000000,0.31000000000,0.04166666667,0.00000000000,0.35214343387,0.29286649754
1,0.72778636658,0.30666666667,0.06714285714,0.52000000000,0.10333333333,0.00000000000,0.00000000000,0.34134245530,0.24756593175
2,0.71780979219,0.36000000000,0.21142857143,0.52000000000,0.18666666667,0.04000000000,0.14285714286,0.37424998383,0.26367462629
3,0.71918217837,0.44000000000,0.16178571429,0.40000000000,0.16333333333,0.08695652174,0.00000000000,0.36368647332,0.25589731449
4,0.71112545221,0.40000000000,0.27392857143,0.56000000000,0.02000000000,0.08163265306,0.00000000000,0.39735173558,0.23442863218
5,0.71464843689,0.40000000000,0.15571428571,0.56000000000,0.15333333333,0.04255319149,0.00000000000,0.35976145475,0.25200600793
6,0.71882630313,0.42666666667,0.28464285714,0.52000000000,0.13000000000,0.12244897959,0.00000000000,0.40384591701,0.24817174278
7,0.70993446499,0.34666666667,0.20035714286,0.44000000000,0.16333333333,0.00000000000,0.00000000000,0.37164207448,0.25418908767
8,0.71865472012,0.44000000000,0.37535714286,0.52000000000,0.20333333333,0.16000000000,0.00000000000,0.49984121062,0.26371430883
9,0.71401517430,0.34666666667,0.18214285714,0.48000000000,0.16666666667,0.03921568627,0.00000000000,0.36649754539,0.25417262786
10,0.71187962374,0.40000000000,0.19535714286,0.52000000000,0.25333333333,0.04255319149,0.00000000000,0.36971576951,0.28097074649
11,0.71639683070,0.41333333333,0.27857142857,0.68000000000,0.46333333333,0.00000000000,0.42857142857,0.41664518124,0.41840995357
12,0.71269304210,0.41333333333,0.30535714286,0.56000000000,0.19000000000,0.15384615385,0.00000000000,0.41882496617,0.25973525967
13,0.70956055334,0.44000000000,0.34571428571,0.64000000000,0.45000000000,0.08695652174,0.18181818182,0.43522708778,0.46923160173
14,0.71424998242,0.40000000000,0.24607142857,0.48000000000,0.12333333333,0.04255319149,0.00000000000,0.38589065733,0.24799497639
15,0.71435745074,0.44000000000,0.42607142857,0.44000000000,0.26333333333,0.12500000000,0.12500000000,0.45953271543,0.27512828963
16,0.71345369467,0.46666666667,0.32964285714,0.48000000000,0.22333333333,0.20000000000,0.00000000000,0.45812125459,0.26953661983
17,0.71755469031,0.44000000000,0.31250000000,0.52000000000,0.38333333333,0.16000000000,0.00000000000,0.45539339162,0.31970402786
18,0.70602503450,0.40000000000,0.30928571429,0.52000000000,0.56000000000,0.04255319149,0.00000000000,0.40939569915,0.41900189956
19,0.70268272791,0.46666666667,0.35500000000,0.52000000000,0.32666666667,0.13043478261,0.14285714286,0.43634926235,0.30330780426
20,0.71135958456,0.42666666667,0.33571428571,0.60000000000,0.53666666667,0.12244897959,0.28571428571,0.46159416546,0.53867202476
21,0.70860292291,0.42666666667,0.35142857143,0.52000000000,0.42666666667,0.08510638298,0.25000000000,0.43628393817,0.42149949148
22,0.70450110021,0.40000000000,0.35857142857,0.64000000000,0.55333333333,0.08163265306,0.30769230769,0.43578988574,0.50798691204
23,0.70191108504,0.41333333333,0.32071428571,0.56000000000,0.13000000000,0.12000000000,0.00000000000,0.44357461810,0.24870544648
24,0.70068471112,0.41333333333,0.28178571429,0.56000000000,0.48000000000,0.12000000000,0.15384615385,0.42666623890,0.37482877736
25,0.69771933613,0.48000000000,0.44285714286,0.60000000000,0.48000000000,0.20408163265,0.16666666667,0.53567214509,0.37592320734
26,0.69899705744,0.42666666667,0.34821428571,0.60000000000,0.50666666667,0.00000000000,0.16666666667,0.43782400129,0.47130025842
27,0.70403505825,0.54666666667,0.50857142857,0.52000000000,0.43666666667,0.29166666667,0.14285714286,0.63241056097,0.34058074064
28,0.70573995881,0.48000000000,0.40428571429,0.52000000000,0.37333333333,0.23529411765,0.00000000000,0.54032208582,0.32778657936
29,0.70594006133,0.45333333333,0.44928571429,0.56000000000,0.40000000000,0.12765957447,0.26666666667,0.52487735636,0.41311361344
30,0.70191233248,0.54666666667,0.44250000000,0.44000000000,0.26000000000,0.29166666667,0.12500000000,0.58085035914,0.35967536584
