# iter,cost,accuracy_train,auc_train,accuracy_val,auc_val,f1_train,f1_val,auc_pr_train,auc_pr_val
0,0.72166271954,0.40000000000,0.15705128205,0.52000000000,0.09740259740,0.00000000000,0.00000000000,0.34926577172,0.27192664096
1,0.72346700121,0.38666666667,0.14316239316,0.40000000000,0.06818181818,0.00000000000,0.00000000000,0.34516225879,0.26719915267
2,0.72122190147,0.38666666667,0.15847578348,0.44000000000,0.20129870130,0.04166666667,0.00000000000,0.35024106547,0.29532072521
3,0.72047730453,0.44000000000,0.14850427350,0.36000000000,0.02597402597,0.08695652174,0.00000000000,0.35159891444,0.26270700914
4,0.72220036320,0.41333333333,0.25783475783,0.48000000000,0.13961038961,0.04347826087,0.00000000000,0.37789566194,0.28058729746
5,0.72820689974,0.41333333333,0.16096866097,0.40000000000,0.18506493506,0.08333333333,0.00000000000,0.35528865542,0.29236935653
6,0.71443637620,0.42666666667,0.22435897436,0.36000000000,0.29545454545,0.08510638298,0.00000000000,0.39294726997,0.32327322546
7,0.71611038861,0.33333333333,0.16132478632,0.40000000000,0.12662337662,0.03846153846,0.00000000000,0.34989510314,0.27690401294
8,0.71063664889,0.41333333333,0.19230769231,0.32000000000,0.11363636364,0.08333333333,0.00000000000,0.36003623403,0.27479415404
9,0.71924531516,0.40000000000,0.20014245014,0.52000000000,0.30844155844,0.04255319149,0.14285714286,0.35948907367,0.32391427497
10,0.71394636931,0.38666666667,0.21260683761,0.52000000000,0.61363636364,0.00000000000,0.00000000000,0.36295109620,0.49015873816
11,0.72039126304,0.37333333333,0.15384615385,0.36000000000,0.09090909091,0.04081632653,0.00000000000,0.34742389040,0.27214744401
12,0.71581972910,0.38666666667,0.28418803419,0.52000000000,0.31493506494,0.04166666667,0.25000000000,0.38513103170,0.34421990881
13,0.71547864554,0.40000000000,0.24394586895,0.52000000000,0.24675324675,0.08163265306,0.14285714286,0.38899216590,0.38249488498
14,0.71477556242,0.38666666667,0.22578347578,0.52000000000,0.20779220779,0.08000000000,0.14285714286,0.40615730317,0.30427808058
15,0.71999781483,0.40000000000,0.25569800570,0.36000000000,0.11038961039,0.00000000000,0.00000000000,0.37796257604,0.27545762460
16,0.70926820018,0.42666666667,0.27955840456,0.48000000000,0.31818181818,0.12244897959,0.00000000000,0.38630673805,0.33302429330
17,0.71217513058,0.41333333333,0.26994301994,0.32000000000,0.03896103896,0.00000000000,0.00000000000,0.38600288684,0.26311522158
18,0.71129121412,0.41333333333,0.22649572650,0.52000000000,0.25649350649,0.12000000000,0.14285714286,0.37003452189,0.31767300436
19,0.71803469787,0.40000000000,0.22435897436,0.40000000000,0.24025974026,0.08163265306,0.00000000000,0.36941133491,0.30360413413
20,0.71372375986,0.34666666667,0.14779202279,0.48000000000,0.30519480519,0.00000000000,0.00000000000,0.34623790691,0.34268308700
21,0.71367320511,0.40000000000,0.22827635328,0.36000000000,0.15909090909,0.00000000000,0.11111111111,0.36983014721,0.28627738871
22,0.71440346915,0.42666666667,0.28027065527,0.44000000000,0.26948051948,0.12244897959,0.12500000000,0.39099997978,0.31295564179
23,0.71383193412,0.40000000000,0.22827635328,0.36000000000,0.14610389610,0.08163265306,0.00000000000,0.37486153696,0.28431643318
24,0.71207218605,0.40000000000,0.28418803419,0.56000000000,0.45129870130,0.04255319149,0.15384615385,0.39041156458,0.45628939916
25,0.70323770409,0.44000000000,0.33903133903,0.44000000000,0.15584415584,0.27586206897,0.12500000000,0.41706163942,0.28291037858
