# exec_history,cost_history,accuracy_train_history,accuracy_val_history
0,0.61790801457,0.34666666667,0.56000000000
1,0.59200944301,0.34666666667,0.48000000000
2,0.60071645646,0.40000000000,0.40000000000
3,0.56758810874,0.40000000000,0.48000000000
4,0.58098440831,0.38666666667,0.48000000000
5,0.59166583694,0.40000000000,0.48000000000
6,0.56073487006,0.46666666667,0.44000000000
7,0.55806887766,0.38666666667,0.48000000000
8,0.54854037152,0.40000000000,0.44000000000
9,0.55741033595,0.40000000000,0.56000000000
10,0.58297667763,0.46666666667,0.52000000000
11,0.54190662170,0.38666666667,0.44000000000
12,0.54200192448,0.44000000000,0.60000000000
13,0.58304829550,0.42666666667,0.48000000000
14,0.56797959099,0.44000000000,0.44000000000
15,0.56772099512,0.40000000000,0.60000000000
16,0.58161941337,0.41333333333,0.40000000000
17,0.55436267192,0.48000000000,0.52000000000
18,0.51397723142,0.48000000000,0.56000000000
19,0.52528851875,0.48000000000,0.56000000000
20,0.55337368258,0.45333333333,0.56000000000
21,0.54051543529,0.42666666667,0.44000000000
22,0.54133919649,0.45333333333,0.64000000000
23,0.54680069126,0.53333333333,0.56000000000
24,0.50249518035,0.48000000000,0.56000000000
25,0.49105565071,0.37333333333,0.52000000000
26,0.50427848048,0.44000000000,0.56000000000
27,0.51626125621,0.49333333333,0.56000000000
28,0.52449297994,0.49333333333,0.68000000000
29,0.52138193036,0.49333333333,0.72000000000
30,0.53301296586,0.48000000000,0.56000000000
31,0.52193814028,0.46666666667,0.48000000000
32,0.49898108116,0.50666666667,0.48000000000
33,0.48640430951,0.49333333333,0.64000000000
34,0.50368517089,0.45333333333,0.44000000000
35,0.46654142314,0.61333333333,0.60000000000
36,0.45199159647,0.54666666667,0.60000000000
37,0.50724472217,0.60000000000,0.68000000000
38,0.48430144282,0.57333333333,0.68000000000
39,0.48349580961,0.54666666667,0.60000000000
40,0.48468576038,0.57333333333,0.56000000000
41,0.46219594418,0.50666666667,0.56000000000
42,0.46308483621,0.49333333333,0.68000000000
43,0.44895666304,0.49333333333,0.64000000000
44,0.42146677206,0.52000000000,0.64000000000
45,0.43052636855,0.58666666667,0.64000000000
46,0.44224787153,0.60000000000,0.60000000000
47,0.43162298981,0.53333333333,0.60000000000
48,0.38730684285,0.52000000000,0.56000000000
49,0.42988899312,0.54666666667,0.64000000000
50,0.40859219462,0.54666666667,0.56000000000
51,0.41305069380,0.56000000000,0.72000000000
52,0.40956784790,0.57333333333,0.60000000000
53,0.38924893236,0.57333333333,0.56000000000
54,0.40256353831,0.61333333333,0.60000000000
55,0.38190360622,0.56000000000,0.72000000000
56,0.41833671185,0.54666666667,0.60000000000
57,0.40555199519,0.56000000000,0.64000000000
58,0.38433777085,0.56000000000,0.60000000000
59,0.38422705655,0.50666666667,0.60000000000
60,0.36749357204,0.50666666667,0.56000000000
61,0.37096124800,0.50666666667,0.56000000000
62,0.38017854509,0.52000000000,0.56000000000
63,0.41026129608,0.54666666667,0.64000000000
64,0.37007997631,0.56000000000,0.56000000000
65,0.38676858306,0.54666666667,0.56000000000
66,0.38796980393,0.56000000000,0.60000000000
67,0.35038588095,0.57333333333,0.64000000000
68,0.36893464688,0.54666666667,0.64000000000
69,0.39841779384,0.54666666667,0.68000000000
70,0.37802599035,0.56000000000,0.60000000000
71,0.38053291619,0.56000000000,0.60000000000
72,0.37864789651,0.53333333333,0.60000000000
73,0.37293749019,0.54666666667,0.60000000000
74,0.34708852969,0.56000000000,0.64000000000
75,0.34358628511,0.52000000000,0.68000000000
76,0.31316725572,0.50666666667,0.56000000000
77,0.33625048051,0.50666666667,0.56000000000
78,0.34085649536,0.53333333333,0.56000000000
79,0.32823441962,0.50666666667,0.60000000000
80,0.32527031615,0.50666666667,0.56000000000
81,0.34685112294,0.50666666667,0.64000000000
82,0.33948820874,0.50666666667,0.56000000000
83,0.31953085212,0.52000000000,0.60000000000
84,0.32515252041,0.52000000000,0.56000000000
85,0.29660180444,0.48000000000,0.56000000000
86,0.29989272718,0.50666666667,0.56000000000
87,0.33611822133,0.48000000000,0.60000000000
88,0.29627726672,0.50666666667,0.56000000000
89,0.32498939785,0.49333333333,0.56000000000
90,0.31156661702,0.50666666667,0.56000000000
91,0.31619985786,0.49333333333,0.56000000000
92,0.30191249860,0.50666666667,0.56000000000
93,0.30805218444,0.49333333333,0.56000000000
94,0.29657583069,0.49333333333,0.56000000000
95,0.30638465312,0.50666666667,0.56000000000
96,0.30603477607,0.48000000000,0.60000000000
97,0.27563251320,0.48000000000,0.56000000000
98,0.29056198488,0.49333333333,0.56000000000
