# iter,cost,accuracy_train,auc_train,accuracy_val,auc_val
0,0.59123272603,0.38666666667,0.10078347578,0.44000000000,0.36038961039
1,0.58495603512,0.40000000000,0.11823361823,0.36000000000,0.19805194805
2,0.59230179335,0.42666666667,0.14636752137,0.44000000000,0.17207792208
3,0.58047308788,0.41333333333,0.10683760684,0.28000000000,0.06818181818
4,0.54918490306,0.37333333333,0.13461538462,0.44000000000,0.12987012987
5,0.54840460294,0.48000000000,0.14743589744,0.40000000000,0.20129870130
6,0.54657817397,0.41333333333,0.15669515670,0.40000000000,0.10064935065
7,0.53377469509,0.46666666667,0.09330484330,0.40000000000,0.19155844156
8,0.52544403016,0.37333333333,0.16203703704,0.32000000000,0.06493506494
9,0.51330105261,0.41333333333,0.22542735043,0.28000000000,0.06818181818
10,0.52679272614,0.36000000000,0.14458689459,0.28000000000,0.18831168831
11,0.50690489649,0.42666666667,0.11039886040,0.40000000000,0.20129870130
12,0.49306581169,0.45333333333,0.23717948718,0.36000000000,0.09740259740
13,0.49273393606,0.36000000000,0.16132478632,0.36000000000,0.26948051948
14,0.48628888912,0.38666666667,0.11039886040,0.36000000000,0.14610389610
15,0.48841836909,0.41333333333,0.15135327635,0.28000000000,0.13961038961
16,0.48548303778,0.41333333333,0.12749287749,0.36000000000,0.19480519481
17,0.48558928779,0.41333333333,0.16417378917,0.40000000000,0.14285714286
18,0.48445723431,0.42666666667,0.21581196581,0.36000000000,0.21428571429
19,0.48295428736,0.46666666667,0.21688034188,0.32000000000,0.14610389610
20,0.48364872107,0.48000000000,0.18945868946,0.32000000000,0.09415584416
21,0.48273768839,0.44000000000,0.21581196581,0.40000000000,0.29545454545
22,0.48141389800,0.41333333333,0.27813390313,0.40000000000,0.16883116883
23,0.48212166389,0.41333333333,0.22792022792,0.32000000000,0.24675324675
24,0.48169393154,0.44000000000,0.15135327635,0.36000000000,0.28246753247
25,0.48151686442,0.48000000000,0.23789173789,0.40000000000,0.17857142857
26,0.48092312671,0.45333333333,0.21937321937,0.44000000000,0.07467532468
27,0.48117799182,0.42666666667,0.19907407407,0.40000000000,0.27597402597
28,0.48038064687,0.41333333333,0.20868945869,0.44000000000,0.24025974026
29,0.48131864475,0.44000000000,0.27955840456,0.36000000000,0.21103896104
30,0.48082977073,0.44000000000,0.20405982906,0.44000000000,0.39285714286
31,0.48077834404,0.50666666667,0.28596866097,0.36000000000,0.60389610390
32,0.48032772356,0.52000000000,0.38568376068,0.40000000000,0.12987012987
33,0.48023738733,0.50666666667,0.43803418803,0.40000000000,0.25324675325
34,0.48036429676,0.41333333333,0.24964387464,0.40000000000,0.32142857143
35,0.48030797565,0.48000000000,0.32122507123,0.32000000000,0.24350649351
36,0.48022581245,0.41333333333,0.24252136752,0.48000000000,0.26948051948
37,0.48039916499,0.49333333333,0.46474358974,0.28000000000,0.19805194805
38,0.48009729658,0.48000000000,0.34081196581,0.48000000000,0.32792207792
39,0.48002058131,0.49333333333,0.31730769231,0.48000000000,0.48376623377
40,0.48019299874,0.50666666667,0.47435897436,0.44000000000,0.30519480519
41,0.48027992626,0.45333333333,0.28383190883,0.40000000000,0.34090909091
42,0.47999075689,0.44000000000,0.30163817664,0.44000000000,0.36688311688
43,0.48022913366,0.56000000000,0.45940170940,0.48000000000,0.33441558442
44,0.48025423510,0.48000000000,0.37927350427,0.52000000000,0.41883116883
45,0.48027817891,0.46666666667,0.27670940171,0.40000000000,0.43831168831
46,0.48051859886,0.52000000000,0.42735042735,0.36000000000,0.32792207792
47,0.48042186414,0.53333333333,0.49715099715,0.36000000000,0.29870129870
48,0.48005649111,0.45333333333,0.47222222222,0.32000000000,0.41233766234
49,0.48022583845,0.54666666667,0.38141025641,0.40000000000,0.39285714286
50,0.48024927340,0.45333333333,0.33831908832,0.40000000000,0.36363636364
51,0.48003789034,0.48000000000,0.35933048433,0.36000000000,0.37337662338
52,0.48009358244,0.49333333333,0.34971509972,0.40000000000,0.36038961039
53,0.48028537026,0.46666666667,0.41631054131,0.44000000000,0.40909090909
54,0.48041126547,0.45333333333,0.43660968661,0.36000000000,0.39935064935
55,0.48037248468,0.46666666667,0.46652421652,0.44000000000,0.27272727273
56,0.48004360240,0.53333333333,0.54095441595,0.32000000000,0.28896103896
57,0.48035825985,0.56000000000,0.52991452991,0.48000000000,0.49025974026
58,0.48017620639,0.54666666667,0.49109686610,0.48000000000,0.45454545455
59,0.48032066681,0.48000000000,0.44729344729,0.44000000000,0.58441558442
60,0.48028518772,0.41333333333,0.25961538462,0.40000000000,0.27922077922
61,0.48004024273,0.58666666667,0.50106837607,0.44000000000,0.43181818182
62,0.47999340816,0.49333333333,0.38675213675,0.40000000000,0.41558441558
63,0.48002175142,0.45333333333,0.40242165242,0.44000000000,0.43506493506
64,0.48010056759,0.54666666667,0.52279202279,0.40000000000,0.37662337662
65,0.48021847687,0.46666666667,0.44729344729,0.40000000000,0.31818181818
66,0.48004073119,0.49333333333,0.48504273504,0.44000000000,0.45129870130
67,0.48020536580,0.49333333333,0.43233618234,0.44000000000,0.51948051948
68,0.48041074282,0.49333333333,0.36823361823,0.40000000000,0.60064935065
69,0.48038945356,0.54666666667,0.50213675214,0.48000000000,0.49675324675
70,0.48014231014,0.57333333333,0.50534188034,0.44000000000,0.31818181818
